id_version, n_classes, m_c_BC
ec3128440c02d29d74c8ebcaef6cbcec5ba3efee,987,57.0
e0a00b9e505c5137e23be35a8cd2aa847d9f75f9,987,57.0
4eca8fbd3d06f2ae8600b4f389d1a06d7b1d96a4,987,57.0
24d76ded7149e3896c25cd3a478373aae9b5bf09,987,57.0
bbd2c2908b9806bd6b6e668e8cdb0998d5926b2f,987,57.0
e8b19b2dc02ce103e971df1841a16bc5b5464765,987,57.0
61f3b48e99ddd733daf435eee2ea1c643c4f6a21,985,57.0
7b5428345cedf9ec3e295062523857e7184c5c11,985,56.0
a93da7ea5c8a48ac8d28aeb390bacaccb7bd489f,985,56.0
fe97617876eb2c80f28173766ede2e4c6c18b6fd,985,56.0
f5d4e7e557c09477c64fd7dd9795cdf53498916e,985,56.0
cffa810483dab7ca8cdbd4ee23f2c12422fa565a,990,56.5
9b93aa38ba00bef14d94a55eb4cd2ac598fff8a9,990,56.5
a7f0e5490b2ccd6719e6a68dbb7cfc0544e313ce,990,56.5
e23eafd99eb9c5627dd100f927caa3ba7bbb036e,990,56.5
cb3ca647d4d57af639d3cc57e830c0992f6995cf,990,56.5
86abdc8ee7722b81276c6d7626fc18d3c59a9451,990,56.5
6b83197035128701b202d112a935261aa9723fde,990,56.5
b60dbc369429414fce1d8625fd2798ec3394c390,990,56.5
f30e406b0bb729f7ecc6f244a2fd4976c166e83b,990,56.5
ffd1e8f7d00013d5ed88e7454f80c4c55277bb61,990,56.5
291359cafd030333462b647743fa0e7925adfd2a,990,56.5
229b749eed244be19527c3e39e6500754eee95cb,988,56.0
122c01f995e4bd62179234aae785e25dcb10cb2b,988,56.0
a30cdf048e64d937491065fcf9584137f188e0b8,988,56.0
1e44b54819e9b86e86d48b61747ecea6e164ddff,988,56.0
94f42549cf89118d58d3e88807f01653a0df0b25,988,56.0
d0f9d7ff474618cd3a000a6a25b603383181f370,988,56.0
ab3149927185f4a90229b44859f5141ff59b4114,988,56.0
8313b9d0133e1fa13ee782b5ad062386855baead,988,56.0
cb2ae46a5d4d816c7e4602346f16e84a66efdb27,988,56.0
ddbab0048b94a19e14b14f8554ffce7f7e1a2ad0,988,56.0
3b75f318b1df03ef72738ae8c2e35fc779720691,987,56.0
b8078029e88acfe85e50caaa4b078184d55c2a15,987,56.0
0119b03c04931ed5d592fae6b09d9ea3bec48538,987,57.5
dc6b0cfe42e3c4f9c671219a32f31a3cc69fb263,987,57.5
81c3757879e53933d6cb4afd20f9533ba1acdf78,987,56.0
d51bf3210513f8056705384fb8f4c2f9cb3d3226,987,59.0
fe383cd5edf01f8c51cdd9b81a4ac98df55b9d17,987,59.0
9fc9287e52da9c1bf0f0c93484f8c3e80c74660c,987,58.5
ebe12b0dfd3cad8505352f76805f649cde5f08ca,987,58.0
ef4de3317da3d116c265ab31a5c68408816c1d7e,987,58.0
e01c021f10b7091cda70781887da75cfa317fc9b,987,58.0
744642359f4f330fe459ee05aa2a06092e26176a,987,58.0
f1611924cfb59417e68993a7bcea4db0ef0475f0,987,58.0
e2c1dd1d4fb82fa74d1043983b1b3d36a2f1fe1f,987,58.5
17667240feb4f9b8fbd7bc54f501eee4203de80a,987,59.0
62ca89737f09d5e5ae9cec4561b8348b23c52f00,990,59.0
05dd9949b3cb3d025114c1bf6fc64a1bcc6fcaa1,993,59.0
724aeef0f99cb980859668da49883065e41b63b4,993,59.0
41bdd4ff7c567f1d044439b44be8f8c35dde3da0,993,59.0
290c69e95f7f6a9c5465ea4ca866b3f9fcbab009,993,59.0
a9fdd9305407bb0c53ab04f498887206df808e07,992,59.0
f53cb86fd08ff937ed35c5a4f9f0072e27123da9,992,59.0
434bac1e228cbbbebe7653d55064fb67e8c62962,992,59.0
e4478abf2307611ba0b3d61bd68948a3a24705f7,992,59.0
00fe15cdd6de3d203ca89719bac2cb45aa82925d,992,59.0
